BDCHM Element	Variable Label	var_name	status	Data Type	UCUM Unit	Ontology CURIE	OMOP Concept ID	Deprecated Codes	Variable Description
MeasurementObservation	BUN	bun		decimal	mg/dL	OBA:VT0005265	OMOP:4017361		Concentration of blood urea nitrogen in blood, typically measured in serum or plasma
MeasurementObservation	BUN Creatinine ratio	bun_creatinine		decimal	{ratio}	OBA:2100054	OMOP:4112223		Ratio of blood urea nitrogen (BUN) to creatinine in blood, typically measured in serum or plasma
MeasurementObservation	CRP c-reactive protein	crp		decimal	mg/L		OMOP:4208414		Concentration of c-reactive protein (CRP) in blood, typically measured in serum or plasma
MeasurementObservation	CAC Score	cac_score		decimal	{score}		OMOP:42872742		The Coronary Artery Calcium Score is a measure of the amount of calcium in the arteries of the heart. Measured from a CT Scan.
MeasurementObservation	CAC volume	cac_volume		decimal			OMOP:4166120		Volume of coronary artery calcium in the arteries of the heart. Measured by CT Scan.
Condition	Cardiovascular disease	cvd		Uriorcurie			OMOP:134057		
MeasurementObservation	Carotid IMT	carotid_imt		decimal	mm	OBA:2090004	OMOP:4138462		Carotid intima-media thickness (IMT) measures the thickness of the inner two layers (intima and media layers) of the carotid artery walls - there are many ways to take this measurement
Condition	Carotid plaque	carotid_plaque		Uriorcurie			OMOP:4102124		
MeasurementObservation	Carotid stenosis left	carotid_sten_left		decimal	%		OMOP:43020498		
MeasurementObservation	Carotid stenosis right	carotid_sten_right		decimal	%		OMOP:43021859		
Person	Cause of death	cause_of_death		Uriorcurie			OMOP:4083743		
MeasurementObservation	CD40 in blood	cd40		decimal	pg/mL	OBA:2052305		OMOP:4209737	Concentration of CD40 (Cluster of differentiation antigen 40) in blood, typically measured in serum or plasma
MeasurementObservation	CESD score	cesd_score		integer	{score}		OMOP:36303297		Score from a self-report questionnaire, the CES-D (Center for Epidemiological Studies Depression Scale)
MeasurementObservation	Chloride in blood	chloride_bld		decimal	mmol/L	OBA:VT0003018	OMOP:4188066		Concentration of chloride in blood, also known as serum chloride
Observation	Cigarette smoking	cig_smok		SmokingStatusObservationTypeEnum			OMOP:35811013	OMOP:4282779	Cigarette smoking status - Does not include other forms of tobacco use like pipes or chewing tobacco
